,ele,50Cr,52Cr,53Cr,54Cr,58Ni,60Ni,61Ni,62Ni,64Ni
2vvNitric run 0,2vvNitric,592.019,7629.2,133.001,198883.98,21801.11,8242.735,370.008,1167.075,802.035
2vvNitric run 1,2vvNitric,567.018,7510.101,134.001,193780.52,21573.568,8114.62,396.009,1169.075,809.036
2vvNitric run 2,2vvNitric,609.02,7379.994,128.001,188662.54,21004.237,7846.385,323.006,1119.069,813.036
.1ppmNiCr run 0,.1ppmNiCr,267438.77,6997041.5,676365.45,521919.96,4243503.1,1353106.3,60963.729,198788.93,1399062.6
.1ppmNiCr run 1,.1ppmNiCr,281226.61,7374526.3,713934.44,542301.53,4358725.7,1418253.2,63298.605,208571.48,1472068.3
.1ppmNiCr run 2,.1ppmNiCr,284769.37,7426923.4,875399.06,544842.94,4369767.2,1429358.7,63852.458,211618.7,1484774.4
1ppmNiCr run 0,1ppmNiCr,3059511.9,70001948,8242574.1,2190861.5,40833371,17280105,605482.67,2035401.3,791930.79
1ppmNiCr run 1,1ppmNiCr,3193055.1,72565661,8567504.6,2306736.6,42044600,17791204,633356.02,2139324,826461.76
1ppmNiCr run 2,1ppmNiCr,3283219.4,74187507,8760377,2726026.8,42721802,18073544,644822.52,2191393.8,849695.12
5ppmNiCr run 0,5ppmNiCr,15436632,345979840,41195008,11432141,199729720,84823111,3584543.3,12007933,3711067.4
5ppmNiCr run 1,5ppmNiCr,16028397,360153970,42864232,11862446,207294420,87958003,3741497,12526044,3872307.6
5ppmNiCr run 2,5ppmNiCr,16092492,360885640,43229144,11970540,208086060,88586799,3767414.5,12547740,3859313
20ppmNiCr run 0,20ppmNiCr,59381314,1292041500,158618810,62761919,755873230,322516870,13974285,46257600,14005205
20ppmNiCr run 1,20ppmNiCr,61454984,1337874500,165329680,65328584,781107600,332216040,14379887,47493368,14389429
20ppmNiCr run 2,20ppmNiCr,62207561,1358116300,166270310,65946542,786097390,336135110,14526331,48190273,14564568
10B1[01]01A run 0,10B1[01]01A,32261.473,374080.33,1271649.1,968022.43,375120.92,143333.1,6707.474,20962.14,134540.25
10B1[01]01A run 1,10B1[01]01A,25042.444,387686.98,1560099.2,1002519.9,389563.71,149400.62,6712.477,22041.689,136889.94
10B1[01]01A run 2,10B1[01]01A,25825.631,390938.89,1555152.9,1018758,392935.26,150275.87,6913.628,22010.613,136994.49
10D1[01]04A run 0,10D1[01]04A,247894.38,383318.46,398668.97,353791.88,351841.32,143091.34,6516.335,22193.056,48912.229
10D1[01]04A run 1,10D1[01]04A,263518.75,544136.1,413821.03,377433.75,382337.42,153631.26,7003.697,23736.949,52390.528
10D1[01]04A run 2,10D1[01]04A,269136.79,503976.04,413506.18,381856.84,395392.43,160254.14,7267.904,24746.636,53287.721
10D1[01]05A run 0,10D1[01]05A,244198.34,459471.21,508836.63,401632.22,407465.38,166292.13,7595.171,25697.268,62146.698
10D1[01]05A run 1,10D1[01]05A,249190.09,483112.16,499101.59,409002.14,420397.71,170013.02,7771.32,26046.259,63350.968
10D1[01]05A run 2,10D1[01]05A,249925.88,460035.58,631918.1,411716.64,422171.12,170518.35,7931.458,25897.836,63031.76
UndigCrF3 run 0,UndigCrF3,167499.55,212425.18,91744.762,171972.61,246571.11,96049.739,4302.018,13893.609,93582.203
UndigCrF3 run 1,UndigCrF3,102296.98,1181125,164124.47,203031.33,251480.89,97033.099,4281.008,14203.086,92953.805
UndigCrF3 run 2,UndigCrF3,26253.875,219500.31,114383.54,72864.845,251535.37,96998.735,4427.078,14012.791,94292.486
10D[01]303 run 0,10D[01]303,27280.872,953575.2,869307.78,64973.618,219306.72,85317.479,3842.812,12387.434,39872.247
10D[01]303 run 1,10D[01]303,94116.239,1825038.6,167094.07,93077.357,218614.34,84809.762,3742.77,12205.188,38531.484
10D[01]303 run 2,10D[01]303,58716.719,1068940.2,72481.801,101080.05,217678.28,84304.091,3766.78,12187.164,39453.426
UndigCrF2 run 0,UndigCrF2,832.038,10842.462,344.007,270030.72,18414.632,6759.512,290.005,1034.059,1007.056
UndigCrF2 run 1,UndigCrF2,817.037,10918.553,402.009,262033.74,17800.41,6519.337,274.004,926.047,1020.057
UndigCrF2 run 2,UndigCrF2,782.034,10758.362,468.012,257402.2,17555.935,6458.293,275.004,883.043,1009.056
10D[01]302 run 0,10D[01]302,35558503,790466560,95749063,25748657,231194.9,86824.648,3893.834,12521.618,264267.01
10D[01]302 run 1,10D[01]302,35711889,790956570,95979315,25824112,236770.68,89672.089,3975.869,13118.458,265323.11
10D[01]302 run 2,10D[01]302,35501347,791389200,96115818,25871697,237490.09,89707.435,4059.906,12998.286,264913.42
